matricula,nombre,programa,avance,grupo,sede
20262100037,Matias Santos Ramos,Licenciatura en Administracion Educativa,Semestre 1,Grupo A,Teziutlan
20262100074,Ana Karen Luna Xochitiotzi,Licenciatura en Educación e Innovación Pedagógica,Semestre 2,Grupo B,Hueyapan
20262100111,José Guadalupe Pérez Tzompantzi,Licenciatura en Educación Indígena,Semestre 3,Grupo C,Guadalupe Victoria
20262100148,Maria Fernanda Hernandez Cuautle,Maestría en Didácticas de Lenguas y Culturas Indoamericanas,Modulo 4,Grupo A,Ayotoxco
20262100185,Luis Enrique Vazquez Meneses,Licenciatura en Pedagogía,Semestre 5,Grupo B,Zapotitlan
20262100222,Guadalupe Itzel Ramirez Coyotl,Licenciatura en Psicologia Educativa,Semestre 6,Grupo C,Huehuetla
20262100259,Juan Pablo Tlatempa Soriano,Licenciatura en Administración Educativa,Semestre 7,Grupo A,Caxhuacan
20262100296,Rosa Elena Huerta Papalotzi,Maestría en Educación Básica,Modulo 8,Grupo B,San Miguel Tenextatiloyan
20262100333,Miguel Angel Cortes Bonilla,Licenciatura en Educación Indígena,Semestre 1,Grupo C,Hueytamalco
20262100370,Alma Delia Sanchez Tecpanecatl,Licenciatura en Intervención Educativa,Semestre 2,Grupo A,Teziutlan
20262100407,Fernando Isaac Morales Zempoalteca,Licenciatura en Pedagogia,Semestre 3,Grupo B,Hueyapan
20262100444,Diana Laura Flores Atonal,Maestría en Educación Media Superior,Modulo 12,Grupo C,Guadalupe Victoria
20262100481,Ricardo Damian Juarez Netzahuatl,Licenciatura en Administración Educativa,Semestre 5,Grupo A,Ayotoxco
20262100518,Yolanda Beatriz Osorio Cuapio,Licenciatura en Educación e Innovación Pedagógica,Semestre 6,Grupo B,Zapotitlan
20262100555,Sergio Ivan Bautista Xicohtencatl,Licenciatura en Educación Indígena,Semestre 7,Grupo C,Huehuetla
20262100592,Norma Angelica Valencia Temoltzin,Maestria en Didacticas de Lenguas y Culturas Indoamericanas,Modulo 3,Grupo A,Caxhuacan
20262100629,Oscar Eduardo Lopez Quechol,Licenciatura en Pedagogía,Semestre 1,Grupo B,San Miguel Tenextatiloyan
20262100666,Brenda Jazmin Reyes Ahuatzi,Licenciatura en Psicología Educativa,Semestre 2,Grupo C,Hueytamalco
20262100703,Hector Manuel Zarate Tepox,Licenciatura en Administración Educativa,Semestre 3,Grupo A,Teziutlan
20262100740,Claudia Ivonne Mendez Cuayahuitl,Maestría en Educación Básica,Modulo 7,Grupo B,Hueyapan
